SMILES,DrugClass
CCC(N)CC1=CC=CC=C1,Unknown
C(C)N(C(=O)[C@H]1CN([C@@H]2CC=3C4=C(C2=C1)C=CC=C4N(C3)C(CC)=O)C)CC,Indolalkylamines
CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C(=O)C5=CC=CS5)C,Indolalkylamines
C(C)N(C(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(C2=C1)=C34)C(CCCC)=O)C)CC,Indolalkylamines
O=C(N(CCC)CCC)CC1=CNC2=C1C=CC=C2,Indolalkylamines
COC1=C(OC)C(OC)=CC(CNCCC2=CC=CC(OC)=C2OC)=C1,Phenethylamines
ClC1=C(C=CC=C1)C1(C(CCCC1)=O)O,Arylcyclohexylamines
FC1=CC=C(C2NCCNC2)C=C1,Piperazine derivates
CN1CCN(CC1)C(C(=O)C1=CC=CC=C1)C,Cathinones
FC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=C(C=CC=C2)F)C=CC=C1,Opioids
CC1(C(C1(C)C)C(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1)C,Opioids
BrC(C(=O)C1=CC=CC=C1)(CCCC)Br,Unknown
NC(C)CC1=CC=C(OC)C(OC)=C1OC,Phenethylamines
COC1=C(C=C(C=C1OC)OC)CC(N)C,Phenethylamines
COC1=C(C(=CC=C1OC)OC)CC(N)C,Phenethylamines
O=C(C1=C(OCO2)C2=CC=C1)N(C3CCN(CCC4=CC=CC=C4)CC3)C5=CC=CC=C5,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC=C1OC,Opioids
CC1=C(C=CC=C1C)C(C(C)NCC)=O,Cathinones
CC(NC)C(C1=CC=CC(C)=C1C)=O,Cathinones
CC(CC1=CC=CC=2OCOC21)N,Phenethylamines
CNC(CC1=CC=CC=2OCOC21)C,Phenethylamines
O1COC2=C1C=CC=C2C(C(CC)NCC)=O,Cathinones
CN(CCC(C)N(C(CC)=O)C1=CC=CC=C1)CCC1=CC=CC=C1,Opioids
CC(NC)C(C1=CC(C)=C(C)C=C1C)=O,Cathinones
FC1=C(C=CC(=C1)F)CC(=O)N(C)C1C(CCCC1)N(C)C,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC(=C1)OC,Opioids
CC(N)CC1=CC=C(OC)C=C1OC,Phenethylamines
CC(NCC)C(C1=CC=C(C)C=C1C)=O,Cathinones
CC(NC)C(C1=CC=C(C)C=C1C)=O,Cathinones
CC(N1CCCC1)C(C2=CC=C(C)C=C2C)=O,Cathinones
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1C)C)OC,Opioids
BrC1=CC(=C(C=C1OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1)OC,Opioids
BrC1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
C(CCC)C1=CC(=C(C=C1OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1)OC,Opioids
ClC1=CC(=C(C=C1OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1)OC,Opioids
ClC1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
C(C)C1=CC(=C(C=C1OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1)OC,Opioids
C(C)C1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
C(C)SC1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
IC1=CC(=C(C=C1OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1)OC,Opioids
IC1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
C(C)(C)C1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
C(C)(C)SC1=CC(=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C1OC)OC,Opioids
COC1=C(C=C(C(=C1)C)OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1)C)OC,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1)SC)OC,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1)[N+](=O)[O-])OC,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1)CCC)OC,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1)SCCC)OC,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C(=C1)C(F)(F)F)OC,Opioids
COC1=C(C=C(C=C1)OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1,Opioids
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C=C1)OC,Opioids
CC(N)CC1=CC(OC)=C(CC)C=C1OC,Phenethylamines
CC1=C(C=C(C=C1)C)C(C(CCC)N1CCCC1)=O,Cathinones
CC(N)CC1=CC(OC)=CC=C1OC,Phenethylamines
COC1=C(C=C(C=C1)OC)CC(NC)C,Phenethylamines
COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C(=CC=C1)OC,Opioids
COC1=C(C=CC=C1)N1CCN(CC1)C(C(O)C1=CC=CC=C1)C1=CC=CC=C1,Opioids
O1CCC2=C1C=C(C=C2)C(C(CCC)N2CCCC2)=O,Cathinones
COC1=CC=CC=C1CN(CC2=CC=CC=C2OC)CCC3=CC(OC)=C(Br)C=C3OC,Phenethylamines
FC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC,Phenethylamines
OC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC,Phenethylamines
BrC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,Phenethylamines
COC1=CC(CNCCC2=CC(OC)=C(Cl)C=C2OC)=CC=C1,Phenethylamines
FC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC,Phenethylamines
OC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC,Phenethylamines
ClC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,Phenethylamines
N#CC1=CC(OC)=C(CCNCC2=CC=CC=C2O)C=C1OC,Phenethylamines
COC1=C(C#N)C=C(C(=C1)CCNCC1=C(C=CC=C1)OC)OC,Phenethylamines
COC1=C(C=C(C(=C1)C)OC)CCNCC1=C(C=CC=C1)OC,Phenethylamines
C(C)C1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C(CC)C=C2OC,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C(C)C(C)=C2OC,Phenethylamines
COC1=CC=C(CNCCC2=CC(OC)=CC=C2OC)C=C1,Phenethylamines
COC1=CC=C(OC)C(CCNCC2=C3OCOC3=CC=C2)=C1,Phenethylamines
COC1=CC=C(OC)C(CCNCC2=CC=CC=C2O)=C1,Phenethylamines
COC1=C(C=C(C=C1)OC)CCNCC1=C(C=CC=C1)OC,Phenethylamines
COC1=C(I)C=C(OC)C(CCNCC2=CC=C(OCO3)C3=C2)=C1,Phenethylamines
COC1=C(I)C=C(OC)C(CCNCC2=CC=C(OC)C=C2)=C1,Phenethylamines
COC1=C(I)C=C(OC)C(CCNCC2=CC=CC=C2F)=C1,Phenethylamines
COC1=C(I)C=C(OC)C(CCNCC2=C3OCOC3=CC=C2)=C1,Phenethylamines
IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC,Phenethylamines
IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,Phenethylamines
OC1=CC(I)=C(OC)C=C1CCNCC2=CC=CC=C2OC,Phenethylamines
OC1=CC(CCNCC2=CC=CC=C2OC)=C(OC)C=C1I,Phenethylamines
OC1=CC=C(CNCCC2=CC(OC)=C(I)C=C2OC)C(OC)=C1,Phenethylamines
COC1=C(C(C)C)C=C(OC)C(CCNCC2=CC=CC=C2OC)=C1,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C([N+]([O-])=O)C=C2OC,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C(CCC)C=C2OC,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCC)C=C2OC,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C(SC(C)C)C=C2OC,Phenethylamines
COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCCC)C=C2OC,Phenethylamines
CSC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,Phenethylamines
NC1CC2=C(C=CC=C2)C1,Aminoindanes
NC=1SC(=CC1C(=O)C1=C(C=CC=C1)Cl)CC,Unknown
CC(N)CC(O1)=CC2=C1C=CC=C2,Arylalkylamines
CCC(NCC1=CC=CC=C1)C(C2=CC=C(OCO3)C3=C2)=O,Cathinones
O=C(N(CC)CC)[C@H]1CN(C)[C@](C2=C1)([H])CC3=C(Br)NC4=C3C2=CC=C4,Indolalkylamines
NCCc1cc(OC)c(cc1Br)OC,Phenethylamines
NC(C)CC1=CC=CC=C1Br,Phenethylamines
BrC1=C(C=CC=C1)C1(C(CCCC1)=O)NC,Arylcyclohexylamines
CC(NC)CC1=CC=CC=C1Br,Phenethylamines
BrC1=CC(=C(C=C1OC)CCN)OC,Phenethylamines
NC1=NCC(C2=CC(OC)=C(Br)C=C2OC)O1,Unknown
COC1=C(Br)C=C(OC)C(CN2CCNCC2)=C1,Piperazine derivates
BrC1=C2C(=C(C=3CCOC31)CCN)OCC2,Phenethylamines
BrC1=C(OCC2)C2=C(CCNCC3=CC=CC=C3OC)C4=C1CCO4,Phenethylamines
NCCC1=CC(OC)=C(Cl)C=C1OC,Phenethylamines
NCCC1=CC(OC)=C(C)C=C1OC,Phenethylamines
ClC1=C(C=CC=C1)C(C(C)N(C)C)=O,Cathinones
C(C)C1=CC(=C(C=C1OC)CCN)OC,Phenethylamines
CC(NCC)C(C1=CC=CC=C1Cl)=O,Cathinones
NCCC1=C2C(OCC2)=C(CC)C3=C1OCC3,Phenethylamines
NCCC1=CC(OC)=C(F)C=C1OC,Phenethylamines
NCCC1=CC(OC)=C(C)C(C)=C1OC,Phenethylamines
COC1=C2CCCCC2=C(C(=C1)CCN)OC,Phenethylamines
COC1=CC(=C(C2=CC=CC=C21)OC)CCN,Phenethylamines
COC1=C(C=C(C=C1)OC)CCN,Phenethylamines
CC(NC)CC1=C(Cl)C=C(OCO2)C2=C1,Phenethylamines
ClC1=C(CC(N)C)C=C2C(=C1)OCO2,Unknown
COC1=C(I)C=C(OC)C(CCN)=C1,Phenethylamines
NCCC1=CC(OC)=C(C(C)C)C=C1OC,Phenethylamines
ClC1=C(C=CC=C1)C1(C(CCCC1)=O)N1CCCCC1,Arylcyclohexylamines
ClC1=C(C=CC=C1)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
ClC1=C(C=CC=C1)C(C(C)NC)=O,Cathinones
NCCC1=CC(OC)=C([N+]([O-])=O)C=C1OC,Phenethylamines
CC(C)OC1=C(C=C(C=C1OC)CCN)OC,Phenethylamines
COC1=C(CCN)C=C(OC)C(CCC)=C1,Phenethylamines
CSC1=C(OC)C=C(CCN)C(OC)=C1,Phenethylamines
C(C)SC1=CC(=C(C=C1OC)CCN)OC,Phenethylamines
FCCSC1=C(OC)C=C(CCN)C(OC)=C1,Phenethylamines
COC1=C(C=C(C(=C1)SC(C)C)OC)CCN,Phenethylamines
COC1=C(C=C(C(=C1)SCCC)OC)CCN,Phenethylamines
NCCC1=CC(OC)=C(C(F)(F)F)C=C1OC,Phenethylamines
C1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1,Piperidines & pyrrolidines
CC(NCC)CC(O1)=CC2=C1C=CC=C2,Arylalkylamines
C(C)NC(C(=O)C1=C(C=CC=C1)CC)C,Cathinones
C(C)C1C(CCCC1)(C1=CC=CC=C1)N1CCCCC1,Arylcyclohexylamines
C(C)NC(C(=O)C1=C(C=CC=C1)F)C,Cathinones
CC(C)(C)[C@H](NC(C1=NN(CC(F)CCC)C2=C1C=CC=C2)=O)C(OC)=O,Cannabinoids
CC(C)[C@@H](C(OC)=O)NC(C1=NN(CC(F)CCC)C2=C1C=CC=C2)=O,Cannabinoids
NC1(C(CCCC1)=O)C1=C(C=CC=C1)F,Arylcyclohexylamines
FC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC=C1,Opioids
C1(CCCCC1)N1CCN(CC1)C(CC1=CC=CC=C1)C1=C(C=CC=C1)F,Opioids
FC(CN1C=C(C2=CC=CC=C12)C(=O)NC1=CC=CC2=CC=CC=C12)CCC,Cannabinoids
C(C)NC1(C(CCCC1)=O)C1=C(C=CC=C1)F,Arylcyclohexylamines
FC1=C(C=CC=C1)N(C(C)=O)C1CCN(CC1)CCC1=CC=CC=C1,Opioids
CC(N)CC1=CC=CC=C1F,Phenethylamines
FC1=C(C=CC=C1)C1(C(CCCC1)=O)NC,Arylcyclohexylamines
C(C)NC(CC1=C(C=CC=C1)F)C,Phenethylamines
FC1N(CCC(C1)N(C(CC)=O)C1=CC=CC=C1)CCC1=CC=CC=C1,Opioids
FC(CN1C=C(C2=CC=CC=C12)C(=O)C1=CC=CC2=CC=CC=C12)CCCC,Cannabinoids
CC(NC)CC1=CC=CC=C1F,Phenethylamines
FC(CN1C=CC2=CC=CC=C12)CCC,Cannabinoids
OC(C1=CC=CN1CC2=CC=CC=C2F)CN(C(CC)C)C(CC)C,Unknown
FC1=C(C=CC=C1)C(C(C)NC)=O,Cathinones
FC1=C(C=CC=C1)C1(C2CCC(C1)C2)N,Arylcyclohexylamines
FC1=C(C=CC=C1)C1(C2CCC(C1)C2)N2CCCC2,Arylcyclohexylamines
CC1NCCOC1C2=CC=CC=C2F,Unknown
FC1=CC=CC=C1N2CCNCC2,Piperazine derivates
FC1=CC=CC=C1C(N2CCCC2)CC3=CC=CC=C3,Piperidines & pyrrolidines
N1(CCCCC1)C1(CCCCC1)C1=C(C=CC=C1)O,Arylcyclohexylamines
ClC=1C=CC2=C(C(=NCC(N2CCO)=O)C2=C(C=CC=C2)F)C1,Benzodiazepines
CCC(NC)CC(O1)=CC2=C1C=CC=C2,Arylalkylamines
CC(NC)CC(O1)=CC2=C1C=CC=C2,Arylalkylamines
CC(NCC)C(C1=CC=CC=C1C)=O,Cathinones
O=C1C(NC)(C2=CC=CC=C2OC)CCCC1,Arylcyclohexylamines
COC1=C(C=CC=C1)C1(CCCCC1)N1CCOCC1,Arylcyclohexylamines
COC1C(CCCC1)(C1=CC=CC=C1)N1CCCCC1,Arylcyclohexylamines
COC1=C(C=CC=C1)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
C(C)NC1(CCCCC1)C1=C(C=CC=C1)C,Arylcyclohexylamines
CC1=C(C=CC=C1)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
CC1=C(C=CC=C1)C(C(CCC)N1CCCC1)=O,Cathinones
CC(N)CC1=CC=CC=C1OC,Phenethylamines
CC1=C(C=CC=C1)CCN1CCC(CC1)N(C(C)=O)C1=CC=CC=C1,Opioids
C(\C=C\C1=CC=CC=C1)N1CC(N(CC1)C(CCC)=O)C,Opioids
CC1=C(C=CC=C1)N(C1(CCN(CC1)CCC1=CC=CC=C1)C(=O)OC)C(CC)=O,Opioids
CC(N1)=C(CCN(C)C)C2=C1C=CC=C2,Indolalkylamines
CC1=C(C=CC=C1)CCN1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1,Opioids
CC(CC(C(=O)C1=C(C=CC=C1)C)N1CCCC1)C,Cathinones
CC(N)CC1=CC=CC=C1C,Phenethylamines
C(C)NC(C(=O)C1=C(C=CC=C1)C)CC,Cathinones
CC1N(CCC(C1)N(C(CC)=O)C1=CC=CC=C1)CCC1=CC=CC=C1,Opioids
CNC(C(=O)C1=C(C=CC=C1)C)C,Cathinones
CN([C@H]1[C@@H](CCCC1)N(C(=O)C1=CC2=CC=CC=C2C=C1)C)C,Opioids
CN(C(C(C)C)=O)C1=CC=C(C=C1)C,Cathinones
C(C)N(C(=O)[C@H]1CN([C@@H]2CC3(C4=C(C2=C1)C=CC=C4NC3=O)O)C)CC,Indolalkylamines
C1(=CC=CC=C1)C1(C(CCCC1)=O)N1CCCCC1,Arylcyclohexylamines
C1(=CC=CC=C1)C1(C(CCCC1)=O)NCCC,Arylcyclohexylamines
N1(CCCCC1)C1(CCCCC1)C1=NC=CC=C1,Arylcyclohexylamines
FC=1C=C(C(=O)N(C)[C@H]2[C@@H](CCCC2)N(C)C)C=CC1F,Opioids
CC1=C(C=CC=C1C)N1C(=NC2=CC=CC=C2C1=O)C,Unknown
O=C(C1=CC=C(CO)C=C1)C2=CN(CCCCC)C3=C2C=CC=C3,Cannabinoids
O=C(C1=CC=C(OC)C=C1)C2=CN(C)C3=C2C=CC=C3,Cannabinoids
CC1(CC(CC(C1)C)(C1=CC=CC=C1)N1CCCCC1)C,Arylcyclohexylamines
CC1(CN(CCC1N(C(CC)=O)C1=CC=CC=C1)CCC1=CC=CC=C1)C,Opioids
C1(=CC=CC=C1)N(C(CC)=O)C1CCN(CC1)C(CC1=CC(=C(C(=C1)OC)OC)OC)C,Opioids
CC(N)CC1=CC(OC)=C(OC)C(OC)=C1,Phenethylamines
FC1=CC=C(N2CCNCC2)C=C1Cl,Piperazine derivates
ClC=1C=C(C=CC1Cl)C(C(CC(C)C)N1CCCC1)=O,Cathinones
ClC=1C=C(C=CC1Cl)C(C(=O)OC)C1NCCCC1,Piperidines & pyrrolidines
ClC=1C=C(C=CC1Cl)C(C(C)N(C)C)=O,Cathinones
CC(N(C1CCCCC1)C)C(C2=CC=C(Cl)C(Cl)=C2)=O,Cathinones
FC=1C=C(C(=O)N(C(C)C)[C@H]2[C@@H](CCCC2)N(C)C)C=CC1F,Opioids
CN(C1C(CCCC1)N(C(C1=CC(=C(C=C1)F)F)=O)CCC)C,Opioids
C(C)N([C@H]1[C@@H](CCCC1)N(C(C1=CC(=C(C=C1)F)F)=O)C)CC,Opioids
FC=1C=C(C=CC1F)CC(=O)N([C@H]1[C@@H](CCCC1)N1CCCC1)C,Opioids
N[C@H]1[C@@H](CCCC1)N(C(C1=CC(=C(C=C1)F)F)=O)C,Opioids
NC(CC=1C=C(C(=CC1)O)O)C,Phenethylamines
COC=1C=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC1OC,Opioids
CCCCC(N1CCCC1)C(C2=CC=C(OC)C(OC)=C2)=O,Cathinones
CCCC(N1CCCC1)C(C2=CC=C(OC)C(OC)=C2)=O,Cathinones
CC=1C=C(C=CC1C)C(C(CCC)N1CCCC1)=O,Cathinones
CC(NCC)C(C1=CC=C(C)C(C)=C1)=O,Cathinones
CC(N)C(C1=CC=C(C)C(C)=C1)O,Unknown
CC(N)CC1=CC=C(OC)C(OC)=C1,Phenethylamines
CC(NCC1=CC=CC=C1OC)CC2=CC=C(OC)C(OC)=C2,Phenethylamines
N=C1OC(C2=CC=CC=C2)C(C)N1C,Unknown
CC(NC)C(C1=CC=C(C)C(C)=C1)=O,Cathinones
O1CCOC2=C1C=C(C=C2)CC(C)NC,Phenethylamines
O1CCOC2=C1C=CC(=C2)C(C(C)NC)=O,Cathinones
CN(C1C(CCCC1)N(C(=O)C1=CC2=C(OCCO2)C=C1)C)C,Opioids
O1CCOC2=C1C=CC(=C2)CC(=O)N(C)C2C(CCCC2)N(C)C,Opioids
OC1=CC=C(CC(NC)C)C=C1O,Phenethylamines
CNCC(CC1=CC2=C(OCO2)C=C1)C,Phenethylamines
CCCNC(C)CC1=CC=C(OCO2)C2=C1,Phenethylamines
O1COC2=C1C=CC(=C2)C2(CCCCC2)N2CCCCC2,Arylcyclohexylamines
O1COC2=C1C=CC(=C2)CC(C)N2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2,Opioids
CN(C1C(CCCC1)N(C(=O)C1=CC2=C(OCO2)C=C1)C)C,Opioids
O1COC2=C1C=CC(=C2)C(C(C)NCCCC)=O,Cathinones
C(C)NC(C(=O)C1=CC2=C(OCO2)C(=C1)C)C,Cathinones
CC(N1CCCC1)(C)C(C2=CC=C(OCO3)C3=C2)=O,Cathinones
O1COC2=C1C=CC(=C2)C(C(CC)NCCC)=O,Cathinones
O1COC2=C1C=CC(=C2)C(C(C)NC2CCCCC2)=O,Cathinones
CCCCCCC(N1CCCC1)C(C2=CC=C(OCO3)C3=C2)=O,Cathinones
C1CCC2=CC(=CC=C12)C(C(CCC)N1CCCCC1)=O,Cathinones
CCCC(N1CCCC1)C(C2=CC3=C(CCC3)C=C2)=O,Cathinones
CCCC(NC)C(C1=CC2=C(CCC2)C=C1)=O,Cathinones
NC(C(C(C)(C)C)NC(=O)C1=CC(=NN1CCCC=C)C1=CC=C(C=C1)F)=O,Cannabinoids
COC=1C=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C1)OC,Opioids
CC1CN(CC(C1N(C(=O)C1CCCC1)C1=CC=CC=C1)C)CCC1=CC=CC=C1,Opioids
CC1CN(CC(C1N(C(CC)=O)C1=CC=CC=C1)C)CCC1=CC=CC=C1,Opioids
CC1OC(C2=CC=CC=C2)C(C)NC1,Unknown
COC1=C(OC)C(OC)=CC(CNCCC2=CC(OC)=C(Cl)C=C2OC)=C1,Phenethylamines
ClC=1C=C(C=CC1Cl)N(C(CC)=O)C1CCN(CC1)CCC1=CC(=CC=C1)F,Opioids
O1COC2=C1C=CC(=C2)C(CC(CC)N2CCCC2)=O,Cathinones
O1COC2=C1C=CC(=C2)N(C(CC)=O)C2CCN(CC2)CCC2=CC=CC=C2,Opioids
C(C)(=O)OC1=CC(=CC=C1)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
CCC(N([C@H]1[C@@H](CC=C)CN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O,Opioids
CC(N)CCC1=CC=CC=C1,Phenethylamines
C1(=CC=CC=C1)NC1CNCCC1,Piperidines & pyrrolidines
NC(C)CC1=CC=CC(Br)=C1,Phenethylamines
CC(NC)CC1=CC=CC(Br)=C1,Phenethylamines
CC(NC)C(C1=CC=CC(Br)=C1)=O,Cathinones
BrC=1C=C(C=CC1)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
O=C(C1=NN(C2=CC=CC=C2F)C3=C1C=CC=C3)OC4=CC=C5C=CC=CC5=C4,Cannabinoids
BrC1=C2OCCC2=C(C=2OCCC21)CC(N)C,Phenethylamines
ClC=1C=C(C=CC1)C(C(C)N(C)C)=O,Cathinones
C(C)OC1=C(C=C(C=C1OC)CC(C)N)OC,Phenethylamines
FC(OC=1C=C(C=CC1)C1(CCCCC1)N1CCCCC1)(F)F,Arylcyclohexylamines
NC(C(=O)C1=CC(=CC=C1)Cl)C,Cathinones
CC(NCC)C(C1=CC=CC(Cl)=C1)=O,Cathinones
ClC=1C=C(C=CC1)C1C(NCCO1)C,Unknown
ClC=1C=C(C=CC1)C1(CCCCC1)NCC,Arylcyclohexylamines
ClC=1C=C(C=CC1)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
ClC=1C=C(C=CC1)C(C(C)NC)=O,Cathinones
COC=1C=C(C=C(C1OCCC)OC)CC(C)N,Phenethylamines
CCC1=CC(=CC=C1)C(=O)C(C)NC,Cathinones
C(C)N(C(C(=O)C1=CC(=C(C=C1)OC)OCC)CCCC)CC,Cathinones
C(C)N(C(C(=O)C1=CC(=C(C=C1)OC)OCC)CCC)CC,Cathinones
C(C)NC(C(=O)C1=CC(=CC=C1)CC)C,Cathinones
C(C)C1CN(CCC1N(C(CC)=O)C1=CC=CC=C1)CCC1=CC=CC=C1,Opioids
